author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_45492,2012,Backbone,25,20,2
author_76826,2015,Backbone,55,19,2
author_44195,2012,Backbone,40,19,2
author_98980,2017,Backbone,36,19,2
author_74351,2015,Backbone,32,19,2
author_137187,2020,Backbone,30,19,2
author_24127,2009,Backbone,29,19,2
author_131921,2020,Backbone,27,19,2
author_10809,2007,Backbone,25,19,2
author_86717,2016,Backbone,25,19,2
author_4327,2006,Backbone,25,19,2
author_26988,2010,Backbone,23,19,2
author_26661,2010,Backbone,21,19,2
author_10965,2007,Backbone,31,18,2
author_62685,2014,Backbone,30,18,2
author_143633,2021,Backbone,30,18,2
author_95936,2017,Backbone,29,18,2
author_107116,2018,Backbone,29,18,2
author_40031,2011,Backbone,24,18,2
author_90366,2016,Backbone,24,18,2
author_52564,2013,Backbone,19,18,2
author_17218,2008,Backbone,40,17,2
author_36361,2011,Backbone,35,17,2
author_48690,2012,Backbone,34,17,2
author_19294,2009,Backbone,33,17,2
author_21729,2009,Backbone,29,17,2
author_53168,2013,Backbone,28,17,2
author_5693,2006,Backbone,27,17,2
author_31676,2010,Backbone,25,17,2
author_101548,2017,Backbone,25,17,2
author_20083,2009,Backbone,22,17,2
author_67468,2014,Backbone,21,17,2
author_58799,2013,Backbone,21,17,2
author_120328,2019,Backbone,19,17,2
author_58082,2013,Backbone,31,16,2
author_53868,2013,Backbone,29,16,2
author_51386,2013,Backbone,26,16,2
author_24115,2009,Backbone,25,16,2
author_105912,2018,Backbone,24,16,2
author_5582,2006,Backbone,24,16,2
author_69278,2014,Backbone,22,16,2
author_55479,2013,Backbone,22,16,2
author_13796,2008,Backbone,21,16,2
author_13841,2008,Backbone,19,16,2
author_15097,2008,Backbone,19,16,2
author_56618,2013,Backbone,18,16,2
author_36380,2011,Backbone,52,15,2
author_147594,2021,Backbone,44,15,2
author_136957,2020,Backbone,39,15,2
author_18860,2009,Backbone,31,15,2
author_73018,2015,Backbone,29,15,2
author_7811,2007,Backbone,27,15,2
author_118178,2019,Backbone,26,15,2
author_132620,2020,Backbone,26,15,2
author_136979,2020,Backbone,24,15,2
author_51455,2013,Backbone,23,15,2
author_15320,2008,Backbone,23,15,2
author_9167,2007,Backbone,22,15,2
