k,k_over_n,alpha_weighted,alpha_unweighted
101,0.005899877329283252,0.0,0.0
102,0.005958291956305859,0.0,0.0
103,0.0060167065833284655,0.0,0.0
104,0.006075121210351072,0.0,0.0
105,0.006133535837373678,0.0,0.0
106,0.006191950464396285,0.0,0.0
107,0.0062503650914188915,0.0,0.0
108,0.006308779718441498,0.0,0.0
109,0.006367194345464104,0.0,0.0
110,0.00642560897248671,0.0,0.0
111,0.006484023599509317,0.0,0.0
112,0.006542438226531924,0.0,0.0
113,0.00660085285355453,0.0,0.0
114,0.006659267480577136,0.0,0.0
115,0.006717682107599743,0.0,0.0
116,0.00677609673462235,0.0,0.0
117,0.006834511361644956,0.0,0.0
118,0.006892925988667562,0.0,0.0
119,0.006951340615690168,0.0,0.0
120,0.0070097552427127756,0.0,0.0
121,0.007068169869735382,0.0,0.0
122,0.007126584496757988,0.0,0.0
123,0.007184999123780594,0.0,0.0
124,0.0072434137508032015,0.0,0.0
125,0.007301828377825808,0.0,0.0
126,0.007360243004848414,0.0,0.0
127,0.00741865763187102,0.0,0.0
128,0.0074770722588936266,0.0,0.0
129,0.007535486885916234,0.0,0.0
130,0.00759390151293884,0.0,0.0
131,0.007652316139961446,0.0,0.0
132,0.0077107307669840525,0.0,0.0
133,0.00776914539400666,0.0,0.0
134,0.007827560021029266,0.0,0.0
135,0.007885974648051873,0.0,0.0
136,0.007944389275074478,0.0,0.0
137,0.008002803902097086,0.0,0.0
138,0.008061218529119691,0.0,0.0
139,0.008119633156142298,0.0,0.0
140,0.008178047783164905,0.0,0.0
141,0.00823646241018751,0.0,0.0
142,0.008294877037210118,0.0,0.0
143,0.008353291664232723,0.0,0.0
144,0.00841170629125533,0.0,0.0
145,0.008470120918277937,0.0,0.0
146,0.008528535545300543,0.0,0.0
147,0.00858695017232315,0.0,0.0
148,0.008645364799345755,0.0,0.0
149,0.008703779426368363,0.0,0.0
150,0.00876219405339097,0.0,0.0
151,0.008820608680413575,0.0,0.0
152,0.008879023307436182,0.0,0.0
153,0.00893743793445879,0.0,0.0
154,0.008995852561481395,0.0,0.0
155,0.009054267188504002,0.0,0.0
156,0.009112681815526607,0.0,0.0
157,0.009171096442549214,0.0,0.0
158,0.009229511069571822,0.0,0.0
159,0.009287925696594427,0.0,0.0
160,0.009346340323617034,0.0,0.0
161,0.00940475495063964,0.0,0.0
162,0.009463169577662247,0.0,0.0
163,0.009521584204684854,0.0,0.0
164,0.00957999883170746,0.0,0.0
165,0.009638413458730066,0.0,0.0
166,0.009696828085752672,0.0,0.0
167,0.009755242712775279,0.0,0.0
168,0.009813657339797886,0.0,0.0
