Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2016,54,88,4.9886,3.2758,145.705,29141,200
2016,55,56,4.8214,2.5298,58.4321,4733,81
2016,56,26,2.8462,3.1667,46.2656,2961,64
2016,57,59,3.2034,2.2613,50.4769,6562,130
2016,58,59,3.0169,2.0562,75.4357,10561,140
2016,59,49,3.6122,2.2833,35.2632,4690,133
2016,60,23,4.8696,9.442,38.2561,3137,82
2016,61,54,4.537,3.7062,51.122,6288,123
2016,62,24,3.125,2.7486,17.64,882,50
2016,63,40,4.075,3.1292,72.3158,6870,95
2016,64,56,3.7143,2.7976,92.541,11290,122
2016,65,16,2.6875,1.6979,88.8846,2311,26
2016,66,15,3.0,3.2611,84.641,3301,39
2016,67,22,2.7727,2.3308,32.8444,1478,45
2016,68,45,3.5333,2.9833,19.5943,2077,106
2016,69,20,2.35,3.0167,12.3514,914,74
2016,70,32,6.0,3.1774,23.3846,1824,78
2016,71,19,4.6842,2.7789,45.8519,1238,27
2016,72,21,2.8571,2.8849,106.1053,6048,57
2016,73,23,6.0435,1.4306,37.1379,1077,29
2016,74,22,2.6364,2.1364,15.0822,1101,73
2016,75,13,2.9231,1.9154,24.1304,555,23
2016,76,12,3.4167,3.6806,22.4872,877,39
2017,1,285,4.9088,3.1087,84.4933,50696,600
2017,2,196,10.5306,2.5332,47.6455,10482,220
2017,3,60,3.95,3.2622,18.2,2730,150
2017,4,119,4.1513,2.851,30.7459,9439,307
2017,5,70,4.1,3.1619,76.3268,11678,153
2017,6,25,4.64,3.1962,64.3846,3348,52
2017,7,349,4.6676,3.221,68.9817,49046,711
2017,8,160,5.6312,5.2456,54.5646,30829,565
2017,9,474,11.0675,2.2612,53.0529,29073,548
2017,10,52,2.8462,2.7756,15.0357,2526,168
2017,11,63,4.1111,3.1446,77.9533,11693,150
2017,12,124,5.25,3.0328,40.953,9583,234
2017,13,334,5.6407,5.7213,61.0725,69928,1145
2017,14,131,5.9695,4.9812,18.7963,7199,383
2017,15,49,3.5918,2.5978,72.4492,8549,118
2017,16,72,10.875,1.7505,56.194,3765,67
2017,17,35,4.6286,3.6662,55.1406,3529,64
2017,18,144,4.1736,2.8883,66.4067,19922,300
2017,19,40,4.95,5.4242,21.071,3266,155
2017,20,145,6.3517,4.0859,81.5585,27893,342
2017,21,151,3.5099,2.7457,77.0201,26803,348
2017,22,23,8.1304,1.1584,60.2308,783,13
2017,23,53,5.1698,2.9563,39.9933,5959,149
2017,24,35,3.6857,2.6864,45.3239,3218,71
2017,25,63,3.2222,2.1543,38.6752,4525,117
2017,26,113,4.8761,3.3259,136.2941,37072,272
2017,27,52,3.5769,2.525,139.6953,17881,128
2017,28,74,4.3514,4.4266,28.6281,5697,199
2017,29,86,4.6395,3.1143,77.8734,12304,158
2017,30,78,6.8205,1.2777,51.9247,4829,93
2017,31,42,3.8333,4.2317,31.4174,3613,115
2017,32,35,5.7429,1.8329,49.34,2467,50
2017,33,44,4.5682,3.6481,28.9404,4370,151
2017,34,36,4.4722,1.9636,38.7826,1784,46
2017,35,59,6.1864,2.4875,42.9762,3610,84
2017,36,16,5.4375,1.2864,38.625,618,16
2017,37,47,3.1702,2.2169,19.2157,2940,153
2017,38,39,2.7949,2.085,64.6566,6401,99
2017,39,98,4.7143,3.5791,46.9221,10839,231
2017,40,135,5.4741,1.636,49.2237,7482,152
2017,41,43,5.9535,2.9255,17.9765,1528,85
2017,42,28,3.9286,3.4123,35.6832,3604,101
2017,43,64,3.375,3.4033,44.0972,9525,216
2017,44,14,2.9286,1.4853,36.3784,1346,37
2017,45,29,3.6207,3.908,22.3038,1762,79
2017,46,16,4.1875,1.6917,37.1429,780,21
2017,47,49,3.7959,3.2409,71.1034,8248,116
2017,48,22,3.2727,2.328,41.5439,2368,57
2017,49,22,3.9091,2.5742,28.375,908,32
2017,50,36,3.7222,2.4602,111.9487,8732,78
2017,51,21,3.381,3.4841,59.2653,2904,49
2017,52,28,3.3214,2.5964,76.0175,4333,57
2017,53,84,4.0714,2.1228,131.9457,17021,129
2017,54,95,4.5684,3.1689,30.6386,8732,285
2017,55,40,3.95,2.9642,48.7579,4632,95
2017,56,103,4.2524,3.3224,94.8077,24650,260
2017,57,58,3.4655,2.7727,18.5203,2278,123
2017,58,35,7.1143,1.6776,39.4595,1460,37
2017,59,80,4.5375,3.8584,163.3575,33815,207
2017,60,66,4.803,2.6465,52.6289,5105,97
2017,61,72,4.1806,2.7593,115.1342,17155,149
2017,62,55,4.3818,2.4163,45.989,4185,91
2017,63,36,4.1389,2.8278,20.9902,2141,102
2017,64,58,5.3448,5.5377,37.3135,6903,185
2017,65,16,5.9375,2.5944,20.6957,476,23
2017,66,20,4.0,3.3292,13.8431,706,51
2017,67,53,3.7547,3.0151,31.7593,3430,108
2017,68,67,4.6269,3.0794,32.2402,6577,204
2017,69,20,2.95,4.125,22.5385,1758,78
2017,70,17,2.8235,4.2118,41.2642,2187,53
2017,71,60,3.2667,2.3389,43.3022,6019,139
2017,72,13,3.9231,4.8974,21.2188,679,32
2017,73,29,5.1379,8.9759,37.5146,3864,103
2017,74,51,5.0196,4.0631,44.5323,5522,124
2017,75,19,2.8947,3.5088,12.4348,858,69
2017,76,24,3.5833,2.5403,26.7083,1282,48
2017,77,27,4.1852,1.5628,43.6591,1921,44
2017,78,29,3.0,2.1782,60.9875,4879,80
2017,79,25,4.24,2.6047,30.0976,1234,41
2017,80,21,3.381,3.3056,75.5,3926,52
2017,81,25,4.16,1.805,62.0278,2233,36
2017,82,21,4.2381,3.2857,94.5192,4915,52
2017,83,39,3.4615,3.0043,19.6842,1870,95
2017,84,44,3.1591,2.3491,76.3762,7714,101
2017,85,24,3.9167,3.5208,16.2698,1025,63
2017,86,19,4.6842,2.9368,45.8621,1330,29
2017,87,23,3.2609,3.029,34.3167,2059,60
2017,88,10,3.5,1.7306,19.5714,411,21
2017,89,13,3.3077,2.6667,84.75,2712,32
2017,90,15,3.1333,2.4333,101.5862,2946,29
2017,91,20,2.6,2.7333,33.4474,2542,76
2017,92,13,2.6923,1.859,77.8571,1635,21
2018,1,153,5.7843,4.7835,17.6721,7599,430
2018,2,141,4.1277,3.1304,31.9171,12320,386
2018,3,69,4.4203,4.2737,23.3436,5299,227
2018,4,74,3.4865,3.542,40.92,10230,250
2018,5,63,2.8571,2.8148,14.3646,2758,192
2018,6,52,3.8077,2.6271,19.7211,2899,147
2018,7,194,5.2732,3.2661,84.0025,33097,394
2018,8,69,3.3768,2.4589,42.4323,6577,155
2018,9,156,4.6218,2.96,28.5654,12226,428
2018,10,35,3.1714,2.5256,36.6667,2530,69
2018,11,53,4.0,3.4599,40.5652,8397,207
2018,12,39,3.4615,3.094,14.97,1497,100
2018,13,57,4.9649,2.9593,37.0299,6184,167
2018,14,274,5.8723,4.5472,50.4784,42099,834
2018,15,148,5.5743,1.7197,48.5058,8343,172
2018,16,76,10.5526,1.7744,52.6533,3949,75
